This list contains all games supported by FB Alpha.

5812 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| agalletu	|  	| Air Gallet (USA)					| agallet	| 1996	| BanPresto / Ga| Cave		| 					|
| md_airmanag	|  	| Air Management - Oozora ni Kakeru (Jpn)		| md_aerobiz	| 1992	| Koei		| Sega Megadrive| 					|
| md_airmang2	|  	| Air Management II - Koukuuou o Mezase (Jpn)		| md_aerobizs	| 1994	| Koei		| Sega Megadrive| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (UA Thea| Kyugo		| 					|
| ajax		|  	| Ajax							| 		| 1987	| Konami	| GX770		| 					|
| ajaxj		|  	| Ajax (Japan)						| ajax		| 1987	| Konami	| GX770		| 					|
| hcastljo	|  	| Akuma-Jou Dracula (Japan ver. N)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| hcastlej	|  	| Akuma-Jou Dracula (Japan ver. P)			| hcastle	| 1988	| Konami	| Miscellaneous	| 					|
| md_akumajo	|  	| Akumajou Dracula - Vampire Killer (Jpn)		| md_cvania	| 1994	| Konami	| Sega Megadrive| 					|
| md_aladdin2	|  	| Aladdin II						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| alcon		|  	| Alcon (US)						| 		| 1986	| Taito America | Early Toaplan	| 					|
| sgx_aldynes	|  	| Aldynes						| 		| 1991	| Hudson	| SuperGrafx	| 					|
| md_alexkiddk	|  	| Alex Kidd - Cheongong Maseong (Kor)			| md_alexkidd	| 1990	| Samsung	| Sega Megadrive| 					|
| md_alexkidd1	|  	| Alex Kidd in the Enchanted Castle (Euro)		| md_alexkidd	| 1990	| Sega		| Sega Megadrive| 					|
| md_alexkidd	|  	| Alex Kidd in the Enchanted Castle (Euro, Rev. A)	| 		| 1990	| Sega		| Sega Megadrive| 					|
| md_alexkiddj	|  	| Alex Kidd in the Enchanted Castle (Jpn)		| md_alexkidd	| 1989	| Sega		| Sega Megadrive| 					|
| md_alexkiddu	|  	| Alex Kidd in the Enchanted Castle (USA)		| md_alexkidd	| 1989	| Sega		| Sega Megadrive| 					|
| alexkidd1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| alienchac	|  	| Alien Challenge (China)				| aliencha	| 1994	| IGS		| Miscellaneous	| Imperfect sound			|
| aliencha	|  	| Alien Challenge (World)				| 		| 1994	| IGS		| Miscellaneous	| Imperfect sound			|
| pce_acrush	|  	| Alien Crush						| 		| 1988	| Naxat		| PC Engine	| 					|
| tg_acrush	|  	| Alien Crush						| 		| 1989	| NEC		| TurboGrafx 16	| 					|
